Run,Architecture,MixUp,Epoch,Train_Loss,Train_Skin_Acc,Train_Lesion_Acc,Train_BM_Acc,Val_Loss,Val_Skin_Acc,Val_Lesion_Acc,Val_BM_Acc,Val_Skin_F1_Macro,Val_Lesion_F1_Macro,Val_BM_F1_Macro,Learning_Rate
exp6_parallel_weightedce_balanced_partial,Parallel,No,1,2.82048,0.99359,0.15758,0.50344,3.04760,0.88870,0.29511,0.56474,0.47053,0.11035,0.39498,0.000100
exp6_parallel_weightedce_balanced_partial,Parallel,No,2,2.64847,1.00000,0.21540,0.51586,3.02202,0.88870,0.30144,0.61348,0.47053,0.14798,0.42740,0.000100
exp6_parallel_weightedce_balanced_partial,Parallel,No,3,2.60821,1.00000,0.23475,0.50032,3.05412,0.88870,0.31622,0.64509,0.47053,0.18835,0.56267,0.000100
exp6_parallel_weightedce_balanced_partial,Parallel,No,4,2.56252,1.00000,0.25224,0.53116,3.06373,0.88870,0.33486,0.66108,0.47053,0.22409,0.65399,0.000100
exp6_parallel_weightedce_balanced_partial,Parallel,No,5,2.53404,1.00000,0.26697,0.51761,3.05034,0.88870,0.33732,0.65232,0.47053,0.21850,0.57619,0.000100
exp6_parallel_weightedce_balanced_partial,Parallel,No,6,2.51716,1.00000,0.27874,0.53689,3.06617,0.88870,0.33732,0.66870,0.47053,0.23050,0.66009,0.000100
exp6_parallel_weightedce_balanced_partial,Parallel,No,7,2.50955,1.00000,0.27784,0.52847,3.07758,0.88870,0.36898,0.66451,0.47053,0.27510,0.66142,0.000050
exp6_parallel_weightedce_balanced_partial,Parallel,No,8,2.50215,1.00000,0.28351,0.51886,3.07778,0.88870,0.35139,0.67974,0.47053,0.24498,0.66956,0.000050
exp6_parallel_weightedce_balanced_partial,Parallel,No,9,2.47862,1.00000,0.29427,0.53862,3.13609,0.88870,0.37038,0.68926,0.47053,0.28649,0.67067,0.000050
exp6_parallel_weightedce_balanced_partial,Parallel,No,10,2.48000,1.00000,0.29554,0.53343,3.11202,0.88870,0.36546,0.68469,0.47053,0.27811,0.67963,0.000025
exp6_parallel_weightedce_balanced_partial,Parallel,No,11,2.48400,1.00000,0.29422,0.52394,3.09787,0.88870,0.38375,0.67669,0.47053,0.31420,0.66714,0.000025
exp6_parallel_weightedce_balanced_partial,Parallel,No,12,2.47131,1.00000,0.30280,0.52897,3.11998,0.88870,0.37883,0.67517,0.47053,0.29449,0.66811,0.000025
exp6_parallel_weightedce_balanced_partial,Parallel,No,13,2.46448,1.00000,0.31309,0.53530,3.13064,0.88870,0.37812,0.68431,0.47053,0.29646,0.67863,0.000025
exp6_parallel_weightedce_balanced_partial,Parallel,No,14,2.46867,1.00000,0.31113,0.51935,3.12937,0.88870,0.37285,0.68469,0.47053,0.30548,0.67633,0.000013
exp6_parallel_weightedce_balanced_partial,Parallel,No,15,2.45624,1.00000,0.31272,0.53572,3.14860,0.88870,0.37355,0.68507,0.47053,0.31454,0.67740,0.000013
exp6_parallel_weightedce_balanced_partial,Parallel,No,16,2.46739,1.00000,0.30529,0.54264,3.14694,0.88870,0.37636,0.68317,0.47053,0.32695,0.67419,0.000013
exp6_parallel_weightedce_balanced_partial,Parallel,No,17,2.45674,1.00000,0.31213,0.53646,3.15933,0.88870,0.37777,0.68279,0.47053,0.32088,0.67392,0.000013
exp6_parallel_weightedce_balanced_partial,Parallel,No,18,2.45755,1.00000,0.31711,0.53252,3.15926,0.88870,0.37601,0.67822,0.47053,0.31118,0.67046,0.000006
exp6_parallel_weightedce_balanced_partial,Parallel,No,19,2.46174,1.00000,0.31160,0.53921,3.15834,0.88870,0.37531,0.68507,0.47053,0.32234,0.67533,0.000006
exp6_parallel_weightedce_balanced_partial,Parallel,No,20,2.45159,1.00000,0.31552,0.52920,3.16163,0.88870,0.37707,0.68126,0.47053,0.32360,0.67286,0.000006
exp6_parallel_weightedce_balanced_partial,Parallel,No,21,2.46248,1.00000,0.31717,0.53634,3.16636,0.88870,0.37777,0.68431,0.47053,0.32870,0.67445,0.000006
exp6_parallel_weightedce_balanced_partial,Parallel,No,22,2.45921,1.00000,0.31340,0.53862,3.17082,0.88870,0.38199,0.68279,0.47053,0.33764,0.67482,0.000003
exp6_parallel_weightedce_balanced_partial,Parallel,No,23,2.45791,1.00000,0.31579,0.53669,3.17336,0.88870,0.38164,0.68507,0.47053,0.33633,0.67619,0.000003
exp6_parallel_weightedce_balanced_partial,Parallel,No,24,2.45643,1.00000,0.31674,0.53359,3.18236,0.88870,0.38305,0.68469,0.47053,0.33507,0.67592,0.000003
exp6_parallel_weightedce_balanced_partial,Parallel,No,25,2.45452,1.00000,0.32231,0.53200,3.18316,0.88870,0.37601,0.69002,0.47053,0.32557,0.67949,0.000003
exp6_parallel_weightedce_balanced_partial,Parallel,No,26,2.45117,1.00000,0.32104,0.53717,3.19055,0.88870,0.37742,0.69040,0.47053,0.33060,0.67993,0.000002
exp6_parallel_weightedce_balanced_partial,Parallel,No,27,2.44956,1.00000,0.32639,0.53381,3.19493,0.88870,0.38269,0.68774,0.47053,0.33759,0.67872,0.000002
exp6_parallel_weightedce_balanced_partial,Parallel,No,28,2.45577,1.00000,0.31044,0.53173,3.19700,0.88870,0.38305,0.68736,0.47053,0.33748,0.67903,0.000002
exp6_parallel_weightedce_balanced_partial,Parallel,No,29,2.45085,1.00000,0.32422,0.53399,3.19827,0.88870,0.37918,0.68774,0.47053,0.33504,0.67846,0.000002
exp6_parallel_weightedce_balanced_partial,Parallel,No,30,2.46093,1.00000,0.31637,0.53404,3.19717,0.88870,0.38164,0.68698,0.47053,0.33483,0.67759,0.000001
exp6_parallel_weightedce_balanced_partial,Parallel,No,31,2.45153,1.00000,0.32199,0.53764,3.19809,0.88870,0.38269,0.68660,0.47053,0.33661,0.67767,0.000001
exp6_parallel_weightedce_balanced_partial,Parallel,No,32,2.44339,1.00000,0.32310,0.53167,3.20002,0.88870,0.38164,0.68621,0.47053,0.33520,0.67773,0.000001
exp6_parallel_weightedce_balanced_partial,Parallel,No,33,2.44934,1.00000,0.31780,0.53757,3.20096,0.88870,0.38234,0.68660,0.47053,0.33627,0.67724,0.000001
exp6_parallel_weightedce_balanced_partial,Parallel,No,34,2.45661,1.00000,0.31833,0.53380,3.19991,0.88870,0.38199,0.68698,0.47053,0.33613,0.67759,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,35,2.45332,1.00000,0.32135,0.54201,3.20036,0.88870,0.38269,0.68698,0.47053,0.33675,0.67759,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,36,2.44795,1.00000,0.32326,0.54240,3.20198,0.88870,0.38269,0.68736,0.47053,0.33713,0.67828,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,37,2.45633,1.00000,0.31521,0.53914,3.20307,0.88870,0.37883,0.68621,0.47053,0.33192,0.67740,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,38,2.45348,1.00000,0.31982,0.53423,3.20316,0.88870,0.38164,0.68660,0.47053,0.33589,0.67758,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,39,2.44720,1.00000,0.32761,0.53240,3.20364,0.88870,0.38058,0.68698,0.47053,0.33424,0.67827,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,40,2.45027,1.00000,0.32162,0.53977,3.20347,0.88870,0.37988,0.68660,0.47053,0.33486,0.67784,0.000000
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,1,2.82048,0.99359,0.15758,0.50344,3.04760,0.88870,0.29511,0.56474,0.47053,0.11035,0.39498,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,2,2.64847,1.00000,0.21540,0.51586,3.02202,0.88870,0.30144,0.61348,0.47053,0.14798,0.42740,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,3,2.60821,1.00000,0.23475,0.50032,3.05412,0.88870,0.31622,0.64509,0.47053,0.18835,0.56267,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,4,2.56252,1.00000,0.25224,0.53116,3.06373,0.88870,0.33486,0.66108,0.47053,0.22409,0.65399,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,5,2.53404,1.00000,0.26697,0.51761,3.05034,0.88870,0.33732,0.65232,0.47053,0.21850,0.57619,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,6,2.51716,1.00000,0.27874,0.53689,3.06617,0.88870,0.33732,0.66870,0.47053,0.23050,0.66009,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,7,2.50955,1.00000,0.27784,0.52847,3.07758,0.88870,0.36898,0.66451,0.47053,0.27510,0.66142,0.000050
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,8,2.50215,1.00000,0.28351,0.51886,3.07778,0.88870,0.35139,0.67974,0.47053,0.24498,0.66956,0.000050
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,9,2.47862,1.00000,0.29427,0.53862,3.13609,0.88870,0.37038,0.68926,0.47053,0.28649,0.67067,0.000050
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,10,2.48000,1.00000,0.29554,0.53343,3.11202,0.88870,0.36546,0.68469,0.47053,0.27811,0.67963,0.000025
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,11,2.48400,1.00000,0.29422,0.52394,3.09787,0.88870,0.38375,0.67669,0.47053,0.31420,0.66714,0.000025
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,12,2.47131,1.00000,0.30280,0.52897,3.11998,0.88870,0.37883,0.67517,0.47053,0.29449,0.66811,0.000025
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,13,2.46448,1.00000,0.31309,0.53530,3.13064,0.88870,0.37812,0.68431,0.47053,0.29646,0.67863,0.000025
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,14,2.46867,1.00000,0.31113,0.51935,3.12937,0.88870,0.37285,0.68469,0.47053,0.30548,0.67633,0.000013
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,15,2.45624,1.00000,0.31272,0.53572,3.14860,0.88870,0.37355,0.68507,0.47053,0.31454,0.67740,0.000013
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,16,2.46739,1.00000,0.30529,0.54264,3.14694,0.88870,0.37636,0.68317,0.47053,0.32695,0.67419,0.000013
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,17,2.45674,1.00000,0.31213,0.53646,3.15933,0.88870,0.37777,0.68279,0.47053,0.32088,0.67392,0.000013
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,18,2.45755,1.00000,0.31711,0.53252,3.15926,0.88870,0.37601,0.67822,0.47053,0.31118,0.67046,0.000006
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,19,2.46174,1.00000,0.31160,0.53921,3.15834,0.88870,0.37531,0.68507,0.47053,0.32234,0.67533,0.000006
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,20,2.45159,1.00000,0.31552,0.52920,3.16163,0.88870,0.37707,0.68126,0.47053,0.32360,0.67286,0.000006
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,21,2.46248,1.00000,0.31717,0.53634,3.16636,0.88870,0.37777,0.68431,0.47053,0.32870,0.67445,0.000006
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,22,2.45921,1.00000,0.31340,0.53862,3.17082,0.88870,0.38199,0.68279,0.47053,0.33764,0.67482,0.000003
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,23,2.45791,1.00000,0.31579,0.53669,3.17336,0.88870,0.38164,0.68507,0.47053,0.33633,0.67619,0.000003
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,24,2.45643,1.00000,0.31674,0.53359,3.18236,0.88870,0.38305,0.68469,0.47053,0.33507,0.67592,0.000003
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,25,2.45452,1.00000,0.32231,0.53200,3.18316,0.88870,0.37601,0.69002,0.47053,0.32557,0.67949,0.000003
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,26,2.45117,1.00000,0.32104,0.53717,3.19055,0.88870,0.37742,0.69040,0.47053,0.33060,0.67993,0.000002
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,27,2.44956,1.00000,0.32639,0.53381,3.19493,0.88870,0.38269,0.68774,0.47053,0.33759,0.67872,0.000002
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,28,2.45577,1.00000,0.31044,0.53173,3.19700,0.88870,0.38305,0.68736,0.47053,0.33748,0.67903,0.000002
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,29,2.45085,1.00000,0.32422,0.53399,3.19827,0.88870,0.37918,0.68774,0.47053,0.33504,0.67846,0.000002
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,30,2.46093,1.00000,0.31637,0.53404,3.19717,0.88870,0.38164,0.68698,0.47053,0.33483,0.67759,0.000001
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,31,2.45153,1.00000,0.32199,0.53764,3.19809,0.88870,0.38269,0.68660,0.47053,0.33661,0.67767,0.000001
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,32,2.44339,1.00000,0.32310,0.53167,3.20002,0.88870,0.38164,0.68621,0.47053,0.33520,0.67773,0.000001
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,33,2.44934,1.00000,0.31780,0.53757,3.20096,0.88870,0.38234,0.68660,0.47053,0.33627,0.67724,0.000001
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,34,2.45661,1.00000,0.31833,0.53380,3.19991,0.88870,0.38199,0.68698,0.47053,0.33613,0.67759,0.000000
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,35,2.45332,1.00000,0.32135,0.54201,3.20036,0.88870,0.38269,0.68698,0.47053,0.33675,0.67759,0.000000
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,36,2.44795,1.00000,0.32326,0.54240,3.20198,0.88870,0.38269,0.68736,0.47053,0.33713,0.67828,0.000000
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,37,2.45633,1.00000,0.31521,0.53914,3.20307,0.88870,0.37883,0.68621,0.47053,0.33192,0.67740,0.000000
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,38,2.45348,1.00000,0.31982,0.53423,3.20316,0.88870,0.38164,0.68660,0.47053,0.33589,0.67758,0.000000
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,39,2.44720,1.00000,0.32761,0.53240,3.20364,0.88870,0.38058,0.68698,0.47053,0.33424,0.67827,0.000000
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,40,2.45027,1.00000,0.32162,0.53977,3.20347,0.88870,0.37988,0.68660,0.47053,0.33486,0.67784,0.000000
